thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,Linear_vel,lift
0.000727547642818563,0.0566844728186099,2.93238441379305,0,0,0,0,-0.035002
0.000744686221112441,0.0575675796962978,2.95467029723336,0,0,0,0,-0.035386
0.000762090748721376,0.0584573705364155,2.97694170748466,0,0,0,0,-0.035562
0.000779763230290795,0.0593538409804017,2.99919853545243,0,0,0,0,-0.036069
0.000797705669153554,0.0602569866369759,3.02144067211359,0,0,0,0,-0.036657
0.000815920067320181,0.0611668030821599,3.04366800851702,0,0,0,0,-0.036911
0.000834408425469015,0.0620832858592988,3.06588043578409,0,0,0,0,-0.037334
0.00085317274293646,0.0630064304790832,3.0880778451092,0,0,0,0,-0.037518
0.000872215017707132,0.0639362324195719,3.11026012776033,0,0,0,0,-0.037555
0.000891537246404078,0.0648726871262128,3.13242717507953,0,0,0,0,-0.039408
0.000911141424279037,0.0658157900118659,3.15457887848351,0,0,0,0,-0.039242
0.000931029545202689,0.066765536456826,3.17671512946413,0,0,0,0,-0.039187
0.000951203601654744,0.0677219218088447,3.19883581958892,0,0,0,0,-0.039945
0.000971665584714389,0.0686849413831537,3.22094084050166,0,0,0,0,-0.039819
0.000992417484050346,0.0696545904624874,3.24303008392288,0,0,0,0,-0.04061
0.00101346128791125,0.0706308642971062,3.26510344165039,0,0,0,0,-0.040529
0.00103479898311585,0.0716137581048199,3.28716080555982,0,0,0,0,-0.0406
0.00105643255504331,0.0726032670710108,3.30920206760512,0,0,0,0,-0.039936
0.00107836398762347,0.0735993863486575,3.33122711981916,0,0,0,0,-0.041823
0.00110059526332712,0.0746021110583583,3.35323585431416,0,0,0,0,-0.041057
0.00112312836315626,0.075611436288356,3.37522816328231,0,0,0,0,-0.040488
0.00114596526663452,0.0766273570945605,3.39720393899624,0,0,0,0,-0.041066
0.00116910795179725,0.0776498685005747,3.41916307380959,0,0,0,0,-0.041178
0.00119255839518208,0.0786789654977174,3.44110546015747,0,0,0,0,-0.042281
0.00121631857181904,0.0797146430450487,3.46303099055707,0,0,0,0,-0.042811
0.00124039045522096,0.0807568960693948,3.48493955760813,0,0,0,0,-0.04346
0.00126477601737383,0.0818057194653718,3.50683105399349,0,0,0,0,-0.043998
0.00128947722872712,0.0828611080954121,3.52870537247962,0,0,0,0,-0.044572
0.00131449605818409,0.0839230567897884,3.55056240591709,0,0,0,0,-0.045275
0.00133983447309219,0.0849915603466398,3.5724020472412,0,0,0,0,-0.045627
0.00136549443923342,0.0860666135319968,3.5942241894724,0,0,0,0,-0.046239
0.00139147792081465,0.0871482110798074,3.61602872571688,0,0,0,0,-0.046488
0.00141778688045807,0.0882363476919623,3.63781554916706,0,0,0,0,-0.047085
0.00144442327919157,0.0893310180383214,3.65958455310212,0,0,0,0,-0.0473
0.00147138907643906,0.0904322167567395,3.68133563088854,0,0,0,0,-0.047905
0.00149868623001094,0.0915399384530931,3.70306867598061,0,0,0,0,-0.048262
0.00152631669609449,0.092654177701306,3.72478358192094,0,0,0,0,-0.048987
0.0015542824292443,0.0937749290433768,3.74648024234101,0,0,0,0,-0.049493
0.00158258538237268,0.0949021869894048,3.76815855096164,0,0,0,0,-0.050252
0.00161122750674007,0.0960359460176175,3.7898184015936,0,0,0,0,-0.05084
0.00164021075194555,0.0971762005743973,3.81145968813802,0,0,0,0,-0.051536
0.00166953706591721,0.0983229450743091,3.83308230458699,0,0,0,0,-0.052032
0.00169920839490268,0.0994761739001271,3.85468614502406,0,0,0,0,-0.052682
0.00172922668345957,0.100635881402863,3.87627110362474,0,0,0,0,-0.053153
0.00175959387444592,0.101802061901792,3.89783707465703,0,0,0,0,-0.053863
0.0017903119090107,0.102974709684485,3.91938395248195,0,0,0,0,-0.054388
0.00182138272658431,0.104153819006829,3.94091163155404,0,0,0,0,-0.055128
0.00185280826486907,0.105339384093063,3.96242000642188,0,0,0,0,-0.05419
0.00188459045982974,0.106531399135803,3.98390897172862,0,0,0,0,-0.055615
0.00191673124568403,0.107729858296069,4.00537842221247,0,0,0,0,-0.055732
0.00194923255489312,0.108934755703315,4.02682825270724,0,0,0,0,-0.057317
0.00198209631815221,0.110146085455459,4.04825835814286,0,0,0,0,-0.057018
0.00201532446438101,0.11136384161891,4.06966863354586,0,0,0,0,-0.052527
0.00204891892071439,0.112588018228599,4.09105897403991,0,0,0,0,-0.05554
0.00208288161249284,0.113818609288005,4.11242927484635,0,0,0,0,-0.05656
0.00211721446325312,0.115055608769188,4.13377943128466,0,0,0,0,-0.058486
0.00215191939471875,0.116299010612816,4.155109338773,0,0,0,0,-0.057197
0.00218699832679069,0.117548808728196,4.17641889282872,0,0,0,0,-0.056971
0.00222245317753785,0.118804996993303,4.19770798906887,0,0,0,0,-0.058798
0.00225828586318777,0.120067569254811,4.21897652321071,0,0,0,0,-0.058266
0.0022944982981172,0.121336519328123,4.24022439107222,0,0,0,0,-0.060337
0.0023310923948427,0.122611840997399,4.26145148857262,0,0,0,0,-0.060462
0.00236807006401131,0.123893528015591,4.28265771173286,0,0,0,0,-0.062698
0.00240543321439115,0.125181574104468,4.30384295667615,0,0,0,0,-0.062558
0.00244318375286215,0.126475972954652,4.32500711962845,0,0,0,0,-0.06184
0.0024813235844066,0.127776718225645,4.346150096919,0,0,0,0,-0.063638
