thita,thita_dot,thita_double_dot,phi,phi_dot,phi_double_dot,W,W_dot_plus,lift
0.000292951969058097,0.0278479834126038,1.76003662512115,0,0,0,0,0,-0.030028
0.00030351995428012,0.0285119009636805,1.78060411730574,0,0,0,0,0,-0.029965
0.000314338372243678,0.0291835293195795,1.80115798072651,0,0,0,0,0,-0.030815
0.000325410113743136,0.0298628633396498,1.82169805806397,0,0,0,0,0,-0.03126
0.000336738067633938,0.0305498978242611,1.84222419210412,0,0,0,0,0,-0.032356
0.000348325120810469,0.0312446275148441,1.86273622573972,0,0,0,0,0,-0.032912
0.000360174158183951,0.0319470470939295,1.88323400197143,0,0,0,0,0,-0.033744
0.000372288062660385,0.0326571511851905,1.90371736390903,0,0,0,0,0,-0.034221
0.000384669715118487,0.033374934353482,1.92418615477266,0,0,0,0,0,-0.035167
0.000397321994387607,0.0341003911048839,1.94464021789395,0,0,0,0,0,-0.035711
0.000410247777225729,0.0348335158867419,1.96507939671727,0,0,0,0,0,-0.03661
0.00042344993829743,0.0355743030877109,1.98550353480093,0,0,0,0,0,-0.036773
0.000436931350151904,0.0363227470377974,2.00591247581834,0,0,0,0,0,-0.037792
0.000450694883200919,0.0370788420084029,2.02630606355924,0,0,0,0,0,-0.038503
0.000464743405696915,0.0378425822123681,2.04668414193088,0,0,0,0,0,-0.039274
0.000479079783711002,0.0386139618040171,2.06704655495922,0,0,0,0,0,-0.039628
0.000493706881111077,0.0393929748792015,2.08739314679012,0,0,0,0,0,-0.039946
0.000508627559539802,0.0401796154753469,2.10772376169055,0,0,0,0,0,-0.040687
0.000523844678392829,0.0409738775714972,2.12803824404975,0,0,0,0,0,-0.041551
0.00053936109479681,0.0417757550883614,2.14833643838044,0,0,0,0,0,-0.0422
0.000555179663587607,0.0425852418883603,2.16861818932002,0,0,0,0,0,-0.043283
0.000571303237288377,0.0434023317756725,2.18888334163174,0,0,0,0,0,-0.043305
0.000587734666087759,0.0442270184962831,2.20913174020589,0,0,0,0,0,-0.04344
0.0006044767978181,0.0450592957380308,2.22936323006102,0,0,0,0,0,-0.044341
0.000621532477933587,0.045899157130656,2.24957765634506,0,0,0,0,0,-0.044684
0.000638904549488527,0.0467465962458504,2.26977486433658,0,0,0,0,0,-0.045788
0.000656595853115558,0.0476016065973055,2.28995469944591,0,0,0,0,0,-0.046123
0.000674609227003903,0.0484641816407626,2.31011700721638,0,0,0,0,0,-0.046792
0.000692947506877681,0.0493343147740626,2.33026163332546,0,0,0,0,0,-0.047289
0.00071161352597414,0.0502119993371968,2.35038842358595,0,0,0,0,0,-0.04818
0.000730610115022036,0.0510972286123577,2.37049722394717,0,0,0,0,0,-0.048073
0.000749940102219935,0.0519899958239906,2.39058788049615,0,0,0,0,0,-0.048907
0.000769606313214562,0.0528902941388452,2.41066023945876,0,0,0,0,0,-0.049218
0.000789611571079186,0.0537981166660282,2.43071414720096,0,0,0,0,0,-0.050164
0.000809958696292007,0.0547134564570558,2.45074945022991,0,0,0,0,0,-0.050909
0.000830650506714552,0.0556363065059069,2.47076599519517,0,0,0,0,0,-0.051535
0.000851689817570156,0.0565666597490771,2.49076362888989,0,0,0,0,0,-0.052111
0.000873079441422355,0.0575045090656322,2.51074219825196,0,0,0,0,0,-0.052236
0.000894822188153419,0.0584498472772632,2.53070155036517,0,0,0,0,0,-0.054557
0.000916920864942768,0.0594026671483406,2.55064153246043,0,0,0,0,0,-0.054399
0.000939378276245536,0.0603629613859705,2.57056199191689,0,0,0,0,0,-0.054741
0.000962197223771143,0.0613307226400502,2.59046277626314,0,0,0,0,0,-0.055665
0.000985380506461766,0.0623059435033241,2.61034373317834,0,0,0,0,0,-0.055868
0.00100893092047095,0.063288616511441,2.63020471049343,0,0,0,0,0,-0.056792
0.00103285125914225,0.0642787341430106,2.65004555619227,0,0,0,0,0,-0.056223
0.00105714431298778,0.0652762888196614,2.6698661184128,0,0,0,0,0,-0.056359
0.00108181286966691,0.0662812729060989,2.68966624544821,0,0,0,0,0,-0.057826
0.00110685971396489,0.0672936787101637,2.70944578574812,0,0,0,0,0,-0.057683
0.00113228762777157,0.0683134984828903,2.72920458791971,0,0,0,0,0,-0.056669
0.00115809939006006,0.0693407244185668,2.74894250072887,0,0,0,0,0,-0.057952
0.00118429777686554,0.0703753486547945,2.7686593731014,0,0,0,0,0,-0.057781
0.00121088556126391,0.0714173632725479,2.78835505412415,0,0,0,0,0,-0.059416
0.00123786551335063,0.0724667602962354,2.80802939304615,0,0,0,0,0,-0.059882
0.00126524040021954,0.0735235316937604,2.82768223927978,0,0,0,0,0,-0.060937
0.0012930129859416,0.0745876693765831,2.84731344240195,0,0,0,0,0,-0.061392
0.00132118603154378,0.0756591651997814,2.86692285215521,0,0,0,0,0,-0.062335
0.00134976229498797,0.0767380109621146,2.88651031844891,0,0,0,0,0,-0.062997
0.00137874453114977,0.077824198406085,2.90607569136037,0,0,0,0,0,-0.063738
0.00140813549179752,0.0789177192180018,2.92561882113601,0,0,0,0,0,-0.064284
0.00143793792557111,0.0800185650280446,2.94513955819248,0,0,0,0,0,-0.064925
0.00146815457796106,0.0811267274103272,2.96463775311787,0,0,0,0,0,-0.065485
0.00149878819128744,0.0822421978829622,2.98411325667275,0,0,0,0,0,-0.066017
0.00152984150467891,0.0833649679081262,3.00356591979141,0,0,0,0,0,-0.06663
0.00156131725405171,0.084495028892125,3.02299559358295,0,0,0,0,0,-0.067278
0.00159321817208879,0.085632372185459,3.04240212933243,0,0,0,0,0,-0.067993
0.00162554698821881,0.0867769890828901,3.061785378502,0,0,0,0,0,-0.06875
0.00165830642859533,0.0879288708235078,3.08114519273206,0,0,0,0,0,-0.069618
0.0016914992160759,0.0890880085907962,3.10048142384238,0,0,0,0,0,-0.070403
0.00172512807020119,0.090254393512702,3.11979392383323,0,0,0,0,0,-0.071194
0.00175919570717427,0.0914280166617019,3.13908254488651,0,0,0,0,0,-0.071941
0.00179370483983973,0.0926088690548713,3.15834713936691,0,0,0,0,0,-0.07266
0.00182865817766294,0.0937969416539527,3.177587559823,0,0,0,0,0,-0.073399
0.00186405842670934,0.0949922253654251,3.19680365898838,0,0,0,0,0,-0.072723
0.00189990828962367,0.0961947110405737,3.21599528978284,0,0,0,0,0,-0.074033
0.00193621046560937,0.0974043894755598,3.2351623053134,0,0,0,0,0,-0.074469
0.00197296765040784,0.0986212514114909,3.25430455887551,0,0,0,0,0,-0.07678
0.00201018253627784,0.0998452875344922,3.27342190395415,0,0,0,0,0,-0.068998
0.00204785781197489,0.101076488475778,3.29251419422495,0,0,0,0,0,-0.073727
0.00208599616273066,0.102314844811722,3.31158128355531,0,0,0,0,0,-0.073174
0.00212460027023247,0.10356034706393,3.33062302600551,0,0,0,0,0,-0.078173
0.0021636728126027,0.104812985699316,3.34963927582985,0,0,0,0,0,-0.072185
0.00220321646437836,0.106072751130169,3.36862988747772,0,0,0,0,0,-0.076449
0.00224323389649056,0.10733963371423,3.38759471559478,0,0,0,0,0,-0.074203
0.00228372777624408,0.108613623754765,3.40653361502403,0,0,0,0,0,-0.077522
0.00232470076729698,0.109894711500641,3.42544644080691,0,0,0,0,0,-0.077418
0.00236615552964022,0.111182887146398,3.44433304818444,0,0,0,0,0,-0.080734
0.00240809471957722,0.112478140832325,3.46319329259833,0,0,0,0,0,-0.079966
0.00245052098970364,0.113780462644535,3.48202702969204,0,0,0,0,0,-0.079709
0.00249343698888699,0.115089842615044,3.50083411531195,0,0,0,0,0,-0.081282
0.00253684536224639,0.116406270721841,3.51961440550841,0,0,0,0,0,-0.083491
0.00258074875113236,0.117729736888973,3.53836775653687,0,0,0,0,0,-0.084277
0.00262514979310651,0.119060230986613,3.55709402485898,0,0,0,0,0,-0.086872
0.00267005112192145,0.120397742831145,3.57579306714365,0,0,0,0,0,-0.08643
0.00271545536750057,0.121742262185239,3.59446474026823,0,0,0,0,0,-0.087856
0.00276136515591794,0.123093778757928,3.6131089013195,0,0,0,0,0,-0.088983
0.00280778310937816,0.12445228220469,3.63172540759486,0,0,0,0,0,-0.091474
0.00285471184619641,0.125817762127523,3.65031411660336,0,0,0,0,0,-0.09221
0.00290215398077825,0.12719020807503,3.66887488606681,0,0,0,0,0,-0.094269
0.00295011212359973,0.128569609542493,3.68740757392087,0,0,0,0,0,-0.094539
0.00299858888118735,0.129955955971959,3.70591203831614,0,0,0,0,0,-0.097083
0.00304758685609815,0.131349236752316,3.72438813761925,0,0,0,0,0,-0.096711
0.00309710864689972,0.132749441219378,3.74283573041393,0,0,0,0,0,-0.095204
0.00314715684815038,0.134156558655963,3.76125467550209,0,0,0,0,0,-0.096065
0.00319773405037933,0.13557057829198,3.77964483190493,0,0,0,0,0,-0.097335
0.00324884284006678,0.136991489304507,3.79800605886397,0,0,0,0,0,-0.103967
0.0033004857996241,0.138419280817874,3.81633821584219,0,0,0,0,0,-0.09918
0.00335266550737422,0.139853941903749,3.83464116252505,0,0,0,0,0,-0.106242
0.0034053845375317,0.141295461581221,3.85291475882158,0,0,0,0,0,-0.100476
0.00345864546018321,0.142743828816881,3.87115886486549,0,0,0,0,0,-0.108229
0.00351245084126764,0.144199032524911,3.88937334101618,0,0,0,0,0,-0.099249
0.00356680324255672,0.145661061567165,3.90755804785984,0,0,0,0,0,-0.108731
0.00362170522163523,0.147129904753257,3.92571284621053,0,0,0,0,0,-0.102755
0.00367715933188148,0.148605550840644,3.94383759711122,0,0,0,0,0,-0.113376
0.00373316812244773,0.150087988534715,3.96193216183485,0,0,0,0,0,-0.103979
